ball 1,ball 2,ball 3,ball 4,ball 5,ball 6,ball 7,ball 8,ball 9,ball 10,ball 11,ball 12,ball 13,ball 14,ball 15,ball 16,ball 17,ball 18,ball 19,ball 20,king ball
4,6,8,11,12,18,19,20,22,25,26,34,37,38,39,40,51,52,58,65,52
7,8,9,11,15,17,19,21,27,29,32,35,41,42,43,52,57,60,65,66,8
10,11,15,17,19,27,30,37,40,41,44,46,48,49,56,58,60,63,64,69,44
3,5,12,13,14,19,24,27,37,42,43,48,49,50,51,53,54,56,61,65,24
4,12,15,17,18,19,25,27,30,32,35,36,37,44,46,51,57,58,61,63,18
6,8,9,10,11,12,15,17,27,33,36,50,52,53,55,56,58,61,62,69,10
4,7,11,20,23,29,34,37,38,43,44,45,48,51,53,54,55,57,61,65,44
2,4,7,8,10,11,13,16,19,20,22,25,29,31,45,48,51,52,68,70,68
3,4,6,8,10,18,22,28,31,35,37,45,50,53,54,55,58,61,64,65,55
1,4,6,8,15,20,24,31,32,35,37,40,44,52,54,55,57,65,68,69,8
4,7,13,15,17,23,26,27,28,35,39,48,50,52,53,54,57,61,64,66,17
3,8,10,11,18,19,23,26,28,29,30,34,38,43,47,50,53,55,60,65,60
4,10,13,15,21,24,27,30,36,39,40,41,47,48,51,55,59,60,65,68,51
1,9,11,14,17,18,30,31,33,36,40,41,47,52,54,62,63,65,68,70,33
3,6,11,14,17,18,19,20,21,25,26,28,29,35,36,41,44,46,57,59,19
1,2,4,6,7,11,14,16,17,18,24,29,34,37,43,45,48,52,55,63,24
5,8,9,10,11,15,17,21,29,33,34,36,43,46,48,50,51,59,65,68,43
1,6,7,12,18,19,20,22,23,25,28,37,39,45,47,56,61,68,69,70,47
7,10,12,13,19,21,23,28,33,36,38,40,45,46,47,48,52,55,60,69,12
3,11,12,14,16,22,31,36,37,38,39,41,43,45,47,56,57,59,63,68,11
1,2,3,4,7,17,22,29,35,42,46,49,53,56,58,59,60,61,63,64,2
2,3,5,10,12,16,19,25,26,28,31,36,37,42,51,57,61,64,65,66,25
5,9,14,15,18,21,27,28,29,30,36,38,39,40,43,46,53,65,69,70,36
1,5,9,13,15,17,19,20,21,26,27,28,29,41,44,52,54,58,60,70,52
15,19,21,24,26,28,32,35,36,41,44,47,51,52,53,54,60,62,63,64,32
12,17,19,24,29,34,39,40,42,51,53,54,56,59,63,65,66,67,69,70,19
2,5,7,8,10,12,13,24,32,36,37,39,41,44,45,52,53,57,66,67,13
2,4,6,8,12,16,19,20,22,24,31,34,38,43,46,57,60,62,64,65,12
4,6,7,18,22,23,30,34,35,36,38,48,51,54,57,62,63,65,68,69,4
2,6,18,19,22,23,28,30,32,36,37,41,49,53,58,59,60,67,68,70,19
1,2,5,10,14,16,19,21,23,28,29,30,31,43,46,47,49,54,56,64,14
1,11,13,15,18,25,27,28,36,41,43,44,45,49,51,53,58,63,66,68,15
1,2,6,7,9,11,13,17,24,28,30,33,37,39,41,42,46,59,64,69,6
3,4,11,16,17,18,19,30,31,33,44,47,48,50,57,61,62,64,65,70,61
9,19,27,29,31,32,35,37,40,43,44,47,48,50,56,57,58,61,62,63,40
6,8,9,13,18,20,26,30,32,33,36,41,45,49,51,57,61,66,69,70,30
6,8,10,11,24,27,32,35,36,40,41,43,44,54,57,59,62,64,67,69,10
5,7,10,11,13,15,18,20,21,25,28,31,33,39,41,44,49,50,56,64,25
2,3,6,7,9,10,11,14,24,26,28,29,47,51,53,62,63,64,68,70,47
2,4,13,20,24,25,30,35,36,40,45,46,48,49,53,54,64,67,69,70,64
3,7,9,11,13,14,17,18,20,21,24,27,31,32,35,37,44,51,62,66,14
6,16,17,19,22,25,27,28,30,34,39,40,43,45,46,52,61,65,69,70,69
1,3,10,11,15,17,22,28,32,35,36,51,53,54,55,59,63,64,67,68,1
8,9,16,18,19,20,35,36,39,40,42,51,54,55,63,64,65,66,68,70,18
3,6,10,11,14,17,20,30,34,38,40,42,44,49,57,61,63,65,66,67,30
5,7,14,18,22,24,26,31,32,33,34,43,47,50,53,56,59,67,69,70,67
1,6,8,11,12,17,22,23,27,29,36,38,40,45,47,54,59,64,67,69,6
9,10,11,15,26,29,38,40,46,49,50,52,53,55,56,58,65,67,69,70,40
5,9,10,12,15,16,17,18,25,27,29,30,33,47,56,60,62,64,68,69,33
5,8,10,11,14,16,22,28,29,44,45,46,48,51,53,55,60,66,67,68,29
2,10,14,16,22,29,31,32,36,37,38,42,49,50,54,57,63,67,68,70,54
10,12,14,17,29,30,34,37,39,40,41,43,44,51,53,55,56,58,63,66,55
1,8,22,24,25,26,30,32,33,36,40,41,42,48,49,59,62,65,66,70,1
5,8,16,22,24,25,26,28,38,42,43,44,49,51,54,58,60,61,67,70,26
5,7,8,12,16,18,20,25,28,29,31,32,33,34,45,47,58,59,61,69,47
2,16,18,22,23,27,29,32,33,35,38,39,41,48,55,61,62,63,66,70,66
3,6,8,9,13,15,18,23,24,25,33,39,43,45,46,54,57,59,62,64,9
4,6,14,16,18,23,25,27,28,33,35,37,42,45,51,53,57,64,67,69,35
2,5,7,9,15,17,28,29,30,39,43,44,47,48,50,55,60,64,65,68,15
1,4,10,12,13,15,17,21,24,25,30,41,47,48,52,54,55,58,63,67,54
5,7,8,14,15,16,19,22,24,26,35,45,46,47,50,54,61,62,64,69,7
5,9,12,22,26,39,40,43,44,45,51,52,53,54,57,58,59,60,61,63,9
3,4,7,12,16,23,25,26,27,30,32,34,39,40,49,51,61,63,65,67,61
4,6,8,10,11,12,13,14,22,25,27,32,39,42,46,47,56,64,65,66,8
4,6,14,17,25,26,30,35,37,38,43,48,52,53,55,59,61,62,67,70,35
2,3,9,10,12,14,25,26,30,31,39,46,48,51,53,55,57,62,67,69,51
1,8,13,14,16,20,26,32,34,35,40,41,45,47,48,52,54,63,64,70,70
2,4,5,11,14,17,23,26,28,31,37,41,43,48,56,59,61,62,63,68,61
5,8,13,16,18,23,24,30,32,33,39,46,47,49,55,56,59,64,67,68,56
5,11,13,14,23,25,28,31,32,33,35,40,45,54,58,62,63,67,68,69,58
3,7,14,17,22,25,26,28,33,35,36,37,39,41,45,48,52,61,67,70,70
3,9,11,15,17,18,19,25,27,30,31,32,34,36,40,44,45,48,52,67,25
3,5,7,10,12,14,19,24,29,31,44,53,55,56,61,62,66,68,69,70,53
11,17,20,21,23,33,36,37,38,39,43,45,47,49,52,53,60,64,67,70,37
2,3,6,7,11,12,20,21,26,29,32,33,47,51,52,53,56,62,67,70,6
1,8,12,14,17,22,27,30,32,36,39,44,51,52,53,55,59,65,67,70,27
2,8,17,23,24,25,26,31,32,36,37,39,46,48,53,61,63,64,66,70,31
1,2,7,17,19,24,28,30,32,38,41,42,48,53,57,60,62,64,65,70,62
1,6,10,11,18,21,27,28,29,31,32,37,38,39,40,53,58,60,65,67,38
3,20,24,26,29,30,31,32,33,39,46,49,50,53,56,62,64,67,68,70,50
2,3,14,17,18,30,35,37,41,43,44,46,47,51,60,61,62,63,65,66,43
6,10,13,19,34,37,39,40,43,44,46,49,52,53,54,59,60,62,66,70,10
3,5,12,14,18,19,24,27,30,35,36,42,45,47,49,53,58,60,67,70,14
8,10,12,15,16,19,20,23,24,26,27,28,33,37,38,42,44,49,59,65,44
10,18,28,29,30,32,36,41,50,51,55,57,59,60,61,62,63,66,67,70,28
1,15,18,20,22,23,25,26,32,36,37,53,54,60,61,62,63,64,65,70,61
1,6,16,21,22,29,32,33,41,42,43,48,49,51,52,57,60,64,66,67,52
4,9,13,21,33,36,37,40,45,46,47,51,53,54,55,60,62,63,65,69,62
3,8,10,12,13,22,23,29,36,39,43,47,48,49,56,60,61,63,64,65,47
4,5,6,7,13,16,18,19,21,22,27,32,38,47,48,49,53,61,64,68,18
2,3,10,13,19,25,31,36,37,38,42,45,50,57,60,61,65,66,67,70,66
3,8,11,13,19,24,29,32,33,35,37,38,40,44,48,52,53,56,57,68,24
5,9,10,12,24,26,27,28,29,30,34,35,39,41,48,61,65,66,68,69,28
6,10,11,15,20,23,25,26,30,34,35,45,46,53,54,57,58,65,66,67,23
5,6,7,13,17,18,20,21,22,23,25,27,32,46,47,49,54,55,63,64,55
3,6,9,14,17,18,21,24,31,33,36,42,47,49,53,54,64,65,67,68,33
4,5,6,16,17,25,27,29,35,37,50,51,58,61,62,63,64,65,67,69,58
3,6,9,15,18,25,27,30,34,41,42,49,50,51,53,55,56,60,63,65,50
1,5,13,16,17,18,19,21,22,28,31,36,41,45,50,51,52,56,59,67,21
3,4,6,10,13,19,21,22,28,30,36,38,39,47,55,58,61,62,66,67,19
1,6,8,13,16,18,21,23,29,30,32,34,35,37,41,51,56,57,59,67,21
2,6,8,11,15,21,30,31,34,37,38,41,42,45,49,55,56,57,59,63,55
1,4,9,16,17,20,25,31,37,38,41,42,45,48,49,50,51,53,56,70,42
1,2,6,9,17,19,21,22,25,28,33,34,36,41,45,56,60,62,65,69,33
6,12,14,15,18,24,26,29,31,33,37,38,41,42,49,50,56,59,65,66,33
1,7,14,20,24,25,30,34,37,40,42,46,47,49,50,51,54,62,63,67,63
1,6,11,12,18,20,21,23,25,33,36,37,40,41,52,55,56,57,66,68,57
1,7,11,13,17,21,27,29,31,33,34,35,39,47,52,53,60,62,65,67,31
1,6,8,9,15,16,17,18,19,21,23,31,36,46,50,51,52,58,60,68,6
4,8,18,20,22,26,31,32,33,36,37,38,39,46,51,60,62,64,65,66,8
3,6,12,13,15,21,23,26,27,30,40,41,44,50,53,58,62,63,65,69,13
4,5,7,10,14,23,28,31,33,42,44,45,47,51,53,58,64,65,68,69,28
1,2,4,11,18,20,21,23,27,29,30,41,52,54,61,62,64,67,68,70,18
3,6,14,15,17,22,24,27,35,36,37,44,48,51,56,62,64,65,66,67,48
7,8,16,19,24,25,26,28,29,36,38,44,47,51,53,54,55,58,62,68,44
1,4,6,13,17,18,26,29,41,46,48,53,55,56,59,60,62,66,69,70,26
2,6,9,10,18,26,27,29,32,33,34,35,38,40,46,50,53,60,68,69,29
4,10,11,12,14,16,17,18,20,24,34,36,37,38,50,56,61,63,67,69,37
5,9,11,12,20,22,24,35,38,42,43,45,49,53,55,56,57,58,64,67,20
3,5,8,15,23,24,28,30,31,32,36,37,38,41,43,50,53,55,64,66,66
3,5,6,7,15,16,19,22,26,29,33,36,39,40,41,49,52,54,56,58,40
2,5,7,15,16,18,19,20,21,22,23,27,30,32,44,48,57,59,68,69,57
3,7,9,13,15,17,19,20,23,24,34,35,41,44,46,49,56,61,64,66,13
8,10,11,12,13,14,16,25,26,35,45,46,50,54,55,59,65,66,68,70,8
1,5,6,13,15,23,29,32,33,35,39,41,43,51,62,63,66,67,69,70,33
1,5,7,10,11,16,17,18,19,21,22,28,30,35,37,39,46,50,53,58,35
1,5,6,8,15,16,18,21,25,32,39,41,45,46,48,53,57,61,66,69,5
1,4,6,7,8,11,15,16,17,39,40,42,48,49,52,56,64,66,69,70,15
7,8,9,17,19,22,23,26,28,30,38,40,41,54,57,58,59,63,66,70,63
3,5,7,9,13,20,23,25,34,39,41,43,45,52,53,58,61,67,68,70,41
5,7,11,13,15,18,19,22,24,27,34,37,44,45,47,49,50,58,59,63,5
1,3,9,10,11,13,18,24,27,30,37,38,47,48,55,57,58,59,62,64,9
1,3,6,16,17,18,19,21,26,28,33,36,38,42,43,47,48,53,54,57,53
2,6,14,17,18,19,20,22,23,26,35,39,40,44,49,54,56,61,66,69,54
5,7,9,10,13,14,17,21,28,29,30,44,47,50,52,54,56,61,63,66,63
2,6,8,10,11,19,22,23,24,25,28,31,38,39,44,47,48,56,57,65,25
1,4,12,13,18,19,24,26,27,33,34,40,43,51,53,58,61,66,67,69,69
5,9,11,14,16,18,25,27,33,34,36,37,38,46,50,53,57,60,64,70,46
7,10,15,16,20,21,22,23,24,32,35,39,40,44,47,53,59,62,63,69,62
2,8,10,12,16,18,20,22,37,40,41,44,55,56,59,60,61,62,66,70,40
4,16,20,21,26,27,32,35,39,40,42,43,46,47,48,51,52,53,65,67,16
1,6,9,13,22,26,30,32,37,38,44,48,49,52,54,58,61,65,67,70,30
3,9,12,25,26,27,30,32,36,42,43,46,51,53,54,56,58,63,65,68,3
4,7,8,9,11,16,19,20,24,37,40,44,45,46,48,51,62,64,68,70,16
2,4,5,6,7,8,10,14,22,31,32,34,36,37,40,44,46,55,64,66,14
1,5,9,10,20,24,25,28,31,34,37,40,42,52,53,56,57,59,61,67,42
2,3,4,5,15,22,35,39,40,41,42,43,44,45,47,49,51,54,66,67,35
1,2,3,12,13,15,22,23,25,28,30,33,34,37,40,41,56,61,66,70,56
2,5,6,8,13,21,26,28,29,32,34,36,39,41,44,45,46,47,59,70,29
5,6,7,12,13,16,22,23,28,30,31,35,36,47,54,64,65,66,67,70,13
1,2,4,6,8,12,20,21,23,33,37,40,50,59,61,62,64,66,68,69,37
1,3,4,5,7,25,29,31,33,35,39,40,41,55,56,58,61,64,67,70,64
2,8,11,12,13,14,15,16,22,25,26,27,29,38,51,53,58,59,64,70,12
11,16,17,20,28,30,36,42,44,45,46,48,51,52,57,60,61,64,67,69,57
1,6,12,14,16,17,18,23,26,27,30,31,42,45,51,53,58,59,69,70,6
9,17,20,22,24,25,26,30,32,36,37,39,40,51,54,63,64,65,66,67,36
1,5,6,10,13,14,16,22,25,28,29,30,34,36,38,39,41,45,52,68,10
1,3,5,13,14,15,19,21,25,29,38,41,45,47,49,54,55,57,59,60,3
2,11,19,20,25,29,31,39,45,48,49,51,54,55,56,58,60,61,68,70,29
4,5,6,10,19,21,23,24,28,30,37,40,43,51,52,55,57,64,66,69,30
3,10,13,14,15,16,21,29,31,34,36,38,41,44,46,50,54,56,63,70,16
5,6,11,12,25,26,27,29,30,34,38,39,40,44,45,61,62,63,69,70,34
4,7,8,12,16,20,21,23,24,29,32,37,39,45,47,50,54,66,67,69,47
4,9,11,18,19,22,26,29,31,33,36,37,41,51,52,56,59,62,66,68,51
4,9,11,12,14,16,18,23,25,28,29,31,32,33,34,50,53,54,56,68,50
1,2,4,7,13,14,18,19,20,22,25,26,28,29,39,48,50,52,54,67,48
2,3,6,7,8,12,14,15,19,25,34,36,37,48,50,52,53,60,64,65,3
1,2,4,6,15,19,24,26,27,33,38,49,51,52,53,55,59,63,65,67,38
11,12,19,22,26,27,33,34,36,37,39,41,43,45,52,56,61,63,66,67,36
1,3,8,9,11,25,29,30,31,35,39,40,45,46,47,51,53,55,57,59,25
2,3,9,12,15,18,20,27,28,30,38,42,46,48,49,58,60,63,64,68,27
4,7,9,17,18,19,24,26,27,29,31,36,44,49,50,52,56,66,67,70,24
10,11,12,14,17,19,22,23,24,29,31,33,38,46,47,49,51,58,65,67,46
8,9,12,13,16,19,21,22,23,24,28,31,43,44,46,47,52,61,66,70,24
4,6,7,10,13,18,20,28,36,37,40,41,42,43,44,45,47,50,68,70,50
2,4,7,11,14,15,21,22,26,27,32,34,35,38,40,42,58,60,66,68,21
4,13,22,25,26,28,29,34,39,43,48,49,52,59,60,62,66,67,68,69,60
7,11,12,13,14,17,21,22,23,29,34,35,38,42,43,49,52,56,57,58,38
9,12,16,17,21,23,24,26,29,31,35,40,41,45,53,62,65,67,69,70,21
2,7,8,10,15,16,20,21,25,28,33,34,47,50,52,53,59,64,65,67,20
1,3,5,7,12,14,18,20,23,28,32,34,35,36,41,47,51,52,56,60,32
2,6,7,16,17,18,24,34,42,44,45,46,47,49,52,59,60,62,64,70,64
3,8,9,10,13,16,17,20,22,25,27,33,36,40,44,45,48,54,60,66,3
1,5,7,20,21,22,29,34,43,45,47,48,49,50,56,59,63,65,67,70,59
7,8,13,15,28,29,32,33,34,40,42,44,45,50,51,54,57,59,60,66,7
1,2,7,13,16,17,20,26,27,28,40,42,45,56,57,59,64,65,66,67,28
5,7,9,12,13,14,19,25,26,30,32,36,38,40,41,43,45,49,50,63,40
2,3,8,11,15,20,26,28,31,33,34,36,43,46,47,54,56,57,67,70,70
3,4,7,8,15,18,25,31,32,33,38,46,51,53,54,55,57,58,59,67,58
5,10,12,15,20,22,26,30,31,32,36,38,41,49,50,53,54,55,61,65,53
1,23,24,25,26,29,32,34,39,41,48,49,54,55,58,62,64,65,66,69,41
3,4,5,6,9,10,18,19,23,24,25,29,33,35,38,39,48,62,64,68,10
8,9,11,15,19,21,22,33,35,37,40,41,42,44,58,60,65,66,68,70,19
10,12,14,17,20,22,23,26,31,34,36,37,41,44,50,55,57,63,66,67,17
1,3,5,16,21,23,27,29,31,37,38,39,42,43,48,49,55,58,61,64,39
2,3,6,8,11,14,18,26,27,30,31,37,38,42,47,53,60,66,68,70,26
2,3,8,9,17,23,24,26,28,29,31,33,34,36,43,47,53,61,62,63,17
1,6,18,20,22,25,29,35,36,37,41,42,48,51,53,57,65,66,69,70,29
5,6,7,8,11,14,16,17,29,32,36,47,48,50,51,53,54,56,59,64,16
2,3,5,9,14,17,24,26,29,35,36,39,47,48,50,52,55,61,63,67,26
7,10,11,12,13,22,25,29,33,36,37,40,44,45,46,48,49,53,54,62,46
5,6,8,9,12,19,21,22,24,26,33,34,38,46,48,52,58,60,66,69,22
7,12,13,15,16,19,20,24,28,35,38,39,46,47,50,59,63,66,67,70,46
1,5,6,9,16,17,24,35,36,41,42,46,47,48,50,52,60,64,66,67,60
2,9,15,16,18,21,26,27,30,31,32,36,39,40,43,46,51,53,64,70,39
1,2,4,7,8,10,12,14,17,21,29,30,34,40,44,46,47,48,55,68,30
1,2,3,7,10,13,14,15,16,21,26,28,33,38,39,43,51,52,55,56,43
1,3,4,9,11,12,16,21,25,29,30,31,33,36,39,46,48,49,52,57,31
4,9,10,13,19,23,29,32,33,36,40,45,47,49,55,56,58,62,64,70,9
1,4,9,13,22,23,26,27,29,35,42,44,46,47,48,54,59,64,65,70,35
5,7,8,9,11,15,21,24,26,29,32,35,38,40,46,48,55,57,69,70,8
3,4,5,7,8,9,10,13,16,17,21,22,25,27,33,41,43,45,47,51,9
3,7,9,17,20,23,26,27,29,30,31,33,39,44,45,48,56,61,62,67,45
4,9,13,14,16,20,26,27,34,36,39,40,46,51,58,61,64,67,68,69,68
5,12,13,14,15,16,17,20,26,30,34,36,39,42,46,51,52,53,57,61,20
2,8,14,16,20,23,26,28,31,32,33,38,44,50,52,56,60,61,64,68,50
2,5,10,12,13,14,16,19,23,24,25,26,34,36,51,54,56,59,60,61,5
2,6,7,9,10,19,20,26,30,37,41,42,49,50,55,58,61,62,64,65,41
7,8,10,11,13,14,18,19,20,22,26,30,32,33,42,49,52,56,67,70,8
1,4,8,9,11,18,24,27,30,36,39,44,45,46,50,55,63,65,67,70,67
13,14,24,27,28,30,36,37,39,40,41,44,47,50,51,55,58,66,68,69,27
2,4,5,14,15,16,18,21,24,27,29,30,35,38,42,44,45,65,66,67,44
4,7,9,14,19,26,28,29,34,36,38,40,43,46,48,57,61,67,68,70,9
2,5,6,16,18,24,25,26,27,30,33,35,37,42,43,45,51,58,68,70,6
3,7,12,13,15,20,29,30,31,33,40,41,46,49,53,54,56,58,62,67,3
4,12,13,15,16,17,23,31,32,33,35,39,43,50,53,59,60,63,67,69,33
1,11,13,18,19,30,37,44,45,47,49,50,55,57,58,59,61,63,64,69,49
2,5,10,11,12,16,17,19,23,25,33,34,35,44,49,53,55,59,69,70,12
5,9,11,13,20,24,25,29,35,39,42,46,48,49,57,58,59,60,63,66,29
1,5,9,10,15,17,19,33,35,37,41,42,44,45,54,58,59,62,63,65,33
2,3,5,9,16,19,23,30,34,35,36,40,42,49,51,52,57,62,66,70,23
4,14,17,22,23,24,27,28,38,46,48,51,53,54,57,58,61,63,64,69,63
3,6,7,13,24,33,34,35,43,44,46,53,54,55,56,59,61,63,65,70,55
1,3,5,7,13,19,24,25,26,27,37,38,39,42,46,48,58,59,60,65,3
8,9,11,15,21,25,28,30,31,34,35,37,40,47,56,58,59,61,67,70,59
13,14,15,16,18,22,23,25,26,29,32,34,37,45,53,57,60,63,64,68,63
1,5,9,13,16,22,23,26,27,34,35,36,47,54,55,59,63,66,67,70,47
3,8,16,17,24,25,27,30,36,38,48,49,50,56,57,60,62,63,66,69,27
4,7,9,10,12,15,16,22,24,30,33,35,40,50,51,52,58,64,65,68,33
1,6,9,11,15,18,19,21,23,24,26,38,40,42,47,49,54,57,59,63,57
1,5,11,16,18,20,21,31,32,36,39,41,47,48,49,50,56,65,66,70,66
1,4,5,10,13,16,20,23,24,29,32,34,36,37,42,44,45,57,64,69,1
9,10,17,18,24,25,26,27,31,36,37,38,48,51,54,55,60,64,67,70,67
1,4,5,6,8,11,12,13,15,19,20,22,24,35,57,58,60,61,62,67,20
2,6,8,9,12,13,15,21,30,31,33,34,43,44,45,46,47,53,60,65,9
1,2,8,10,19,23,29,33,37,39,40,43,45,48,49,56,58,61,65,67,19
1,3,7,9,15,18,19,21,22,27,32,34,41,42,47,48,51,57,59,64,34
2,4,7,10,18,20,23,31,32,35,41,42,43,47,52,54,59,62,63,64,59
3,9,11,13,15,16,17,20,26,28,29,38,41,44,50,55,62,63,66,68,44
5,6,8,15,21,24,27,36,38,40,42,46,47,52,58,60,63,64,65,66,6
2,11,21,22,23,25,26,27,30,36,51,52,53,55,56,57,58,61,68,70,70
1,2,15,17,18,21,22,23,26,29,39,41,45,47,49,57,58,60,68,69,1
3,13,25,29,36,37,38,40,41,46,47,49,54,55,59,62,63,64,65,68,38
4,8,14,17,18,24,26,28,33,34,39,41,52,54,56,57,59,68,69,70,57
2,5,12,18,19,20,25,27,28,32,36,38,44,47,48,51,52,58,60,69,19
2,10,11,14,16,17,20,22,27,28,29,37,41,43,44,48,57,62,66,68,20
4,7,10,11,12,20,21,22,31,36,37,38,40,47,55,56,64,65,68,70,12
1,6,11,16,24,25,28,35,36,40,42,49,52,53,54,55,56,66,67,68,52
1,2,5,10,11,12,14,22,23,26,32,33,34,41,49,53,59,67,68,70,2
3,4,9,15,20,23,27,28,30,33,34,37,38,41,44,46,50,57,58,67,4
3,5,6,11,14,15,17,21,22,28,30,31,33,34,39,48,51,53,63,64,5
2,4,8,15,16,22,24,26,27,30,31,34,44,47,50,51,52,55,56,70,50
3,5,10,17,20,24,26,30,32,33,40,42,44,45,47,49,56,59,62,69,49
8,11,14,17,23,27,29,30,33,35,36,37,38,41,49,51,55,57,59,62,38
3,4,6,7,9,18,19,22,26,27,31,33,36,45,46,57,64,66,68,70,6
2,6,15,16,17,22,26,27,35,43,48,51,53,54,57,58,60,61,65,66,48
1,2,3,15,20,21,25,29,33,35,36,39,43,48,52,60,63,64,65,66,3
6,7,13,20,24,27,30,31,35,38,39,41,43,45,46,50,51,52,53,59,13
1,2,4,5,8,9,11,25,31,32,33,34,43,48,49,51,54,57,66,68,51
7,8,16,24,29,33,34,37,42,43,44,47,48,50,52,56,62,67,68,70,62
1,3,5,18,22,23,25,29,30,37,41,42,45,47,49,60,61,62,64,67,61
1,2,3,6,7,13,14,19,22,29,33,35,42,45,46,57,58,64,68,70,13
1,2,4,5,16,19,21,24,28,29,31,36,44,45,52,54,57,62,63,70,36
4,7,10,12,13,16,20,22,25,26,33,36,40,41,43,44,45,57,58,67,26
2,4,5,7,11,14,17,19,26,32,33,39,45,49,54,55,59,63,64,67,54
1,4,7,11,29,31,34,35,38,41,42,47,48,50,53,54,58,59,67,70,42
10,11,16,20,30,31,32,34,35,37,38,40,53,55,58,59,61,68,69,70,31
1,4,6,10,11,14,18,19,26,32,39,41,42,45,49,52,55,59,67,69,39
3,4,7,17,21,29,31,34,35,36,38,41,45,58,59,60,62,63,66,68,21
2,6,14,17,19,20,22,36,38,43,44,47,49,58,59,60,61,67,68,69,2
1,3,6,8,10,15,17,27,32,36,42,46,53,54,56,57,60,62,65,70,65
1,3,4,5,7,9,10,13,15,16,18,23,28,31,40,49,50,51,52,66,3
1,7,9,11,18,19,26,27,32,33,34,38,40,42,46,56,59,67,69,70,18
1,2,4,6,19,27,31,34,36,37,40,48,49,50,52,54,57,59,66,68,19
1,3,5,8,15,17,20,22,30,31,32,46,47,55,64,65,66,67,68,70,67
1,5,11,14,19,31,32,34,37,38,45,46,50,51,52,55,57,60,61,66,37
3,9,11,13,14,20,22,27,29,31,35,36,38,39,40,44,48,51,53,60,9
3,6,12,13,22,24,26,28,29,30,37,42,44,48,49,52,58,59,61,66,66
3,4,8,9,10,11,19,20,28,35,40,41,43,47,50,53,54,56,63,67,3
6,9,10,15,21,23,24,25,28,32,37,39,49,58,59,64,65,67,68,69,65
6,7,9,12,13,15,24,30,33,41,42,43,46,47,48,53,54,56,61,67,53
5,9,12,18,20,23,27,28,29,31,32,34,36,37,41,50,52,63,65,68,34
3,4,8,10,14,15,16,21,25,27,29,35,39,40,52,53,54,59,68,70,70
1,2,9,12,16,23,24,25,26,28,34,35,43,48,53,55,57,59,60,67,2
1,12,16,18,22,25,26,27,28,34,37,47,48,55,57,60,61,62,63,69,48
3,6,7,12,13,14,17,20,24,32,38,43,44,51,56,57,59,64,65,70,17
11,14,16,20,22,24,29,31,38,44,45,48,52,53,54,58,63,64,67,70,31
7,16,18,20,23,25,27,39,41,43,45,46,49,52,55,58,60,63,66,69,55
1,5,8,12,14,15,17,20,25,27,28,30,37,41,42,46,63,65,68,69,46
3,6,11,14,16,20,23,24,28,32,34,41,42,45,46,55,56,58,64,70,28
3,5,7,12,25,32,33,36,37,38,42,43,48,52,53,58,60,61,65,67,61
1,6,7,14,16,17,29,30,34,35,36,37,38,43,51,52,58,60,64,65,58
2,8,11,17,24,25,26,32,33,36,37,41,43,48,49,54,56,57,63,70,48
3,5,8,10,11,16,22,23,26,35,45,47,48,50,51,53,54,56,57,60,57
9,10,11,14,15,16,19,20,27,41,43,45,46,49,52,55,60,65,68,70,27
3,13,19,20,26,32,33,38,39,40,43,45,46,47,48,54,57,63,64,66,13
4,17,19,23,26,27,29,32,35,36,37,41,43,45,51,52,59,62,66,69,66
3,8,12,13,16,24,25,34,35,36,37,41,51,52,53,57,61,64,65,68,57
1,5,13,16,23,24,25,28,29,30,31,37,42,43,47,50,54,55,62,69,69
1,2,8,22,25,30,33,37,43,44,45,48,51,57,58,60,62,66,67,70,67
1,5,6,10,17,18,20,23,24,27,32,41,43,44,45,50,56,57,63,64,10
2,5,9,14,30,31,32,35,37,41,44,51,53,58,59,60,62,64,68,69,59
6,8,12,13,15,17,26,27,30,31,34,39,41,43,45,46,53,61,65,70,6
7,8,12,13,18,20,21,22,24,26,28,34,51,55,56,63,66,67,68,70,70
1,8,9,10,17,21,23,24,26,30,31,33,35,37,40,48,49,50,52,56,21
1,5,7,9,10,14,17,18,24,26,28,33,38,41,42,43,49,50,54,61,24
6,9,13,14,19,22,24,25,28,31,34,35,36,37,38,42,49,59,61,68,25
8,9,13,16,22,23,27,29,30,35,40,43,45,53,54,60,62,64,65,66,29
1,3,6,24,28,30,32,34,38,41,42,46,60,62,63,64,66,68,69,70,64
1,4,5,8,12,14,24,32,36,43,45,47,48,52,62,63,64,66,67,70,70
1,5,6,12,13,15,21,23,29,30,33,45,49,51,55,56,61,62,67,68,6
1,4,6,14,23,25,28,34,39,41,46,47,49,53,57,58,59,61,62,65,28
3,4,16,23,25,27,30,31,35,44,45,48,50,51,52,54,58,61,69,70,51
5,12,14,19,20,22,23,25,26,32,37,38,39,44,49,53,57,59,63,64,53
11,12,15,19,25,28,29,31,33,36,37,43,44,46,52,54,58,61,62,65,36
1,5,8,12,14,20,26,29,30,33,38,42,45,46,47,48,52,57,61,70,8
1,2,6,8,18,20,22,27,31,38,43,44,45,49,50,53,55,60,62,70,31
1,2,5,8,11,14,21,22,24,27,37,41,42,44,46,54,60,61,65,68,37
1,4,7,13,14,15,16,21,22,24,25,26,27,35,36,39,53,55,62,70,14
1,6,7,8,9,11,13,25,30,39,43,48,50,52,53,54,58,67,69,70,9
