ball 1,ball 2,ball 3,ball 4,ball 5,ball 6,ball 7,ball 8,ball 9,ball 10,ball 11,ball 12,ball 13,ball 14,ball 15,ball 16,ball 17,ball 18,ball 19,ball 20,king ball
1,2,3,11,21,25,33,36,38,39,41,42,43,50,53,57,61,64,66,67,38
2,14,15,17,21,22,24,29,31,35,41,44,49,51,53,54,57,62,64,70,24
3,5,6,9,22,26,28,32,33,35,44,45,46,47,50,52,57,64,66,67,57
5,6,9,15,16,18,19,31,32,33,34,42,43,44,48,53,54,57,60,65,54
2,6,7,10,12,13,18,19,25,27,32,36,42,48,52,53,58,60,65,70,60
1,8,14,15,20,23,33,35,40,41,42,43,45,47,49,55,56,59,61,62,41
2,4,7,10,12,16,20,21,22,27,28,32,37,38,39,46,47,49,60,65,4
3,12,15,16,17,26,27,28,33,37,40,44,45,53,57,62,63,64,68,69,37
2,3,5,12,16,22,26,30,38,39,43,50,53,55,56,61,65,66,69,70,69
7,14,18,19,21,26,30,34,36,40,41,43,44,49,52,55,57,59,60,66,21
3,6,9,12,14,18,23,26,28,31,32,33,35,38,43,47,48,52,63,66,48
3,8,10,12,18,20,24,25,27,31,35,36,39,42,44,55,58,61,63,70,18
4,6,8,11,16,25,31,34,38,45,46,48,49,51,53,56,59,61,62,63,11
2,4,6,8,10,13,16,20,21,22,23,27,38,42,44,52,60,64,65,69,10
8,10,14,16,18,23,25,29,31,33,37,40,44,47,51,52,55,56,64,66,40
1,3,4,6,7,12,14,19,24,26,30,39,44,47,52,63,64,66,67,68,63
1,2,3,6,9,12,16,18,24,25,27,29,31,39,41,42,45,47,58,60,16
2,3,5,7,8,11,12,16,17,22,28,29,34,35,48,49,53,58,65,66,11
2,4,6,12,13,14,15,30,31,37,42,45,53,56,57,58,64,65,69,70,12
2,4,5,6,8,10,21,22,25,26,28,31,33,37,41,43,49,51,63,67,8
3,7,8,9,11,14,17,23,26,30,31,35,37,38,44,47,53,63,65,67,11
2,5,6,9,10,11,19,28,29,38,40,43,46,50,53,59,60,61,64,66,6
2,6,7,9,10,13,17,21,22,31,35,40,41,42,44,45,48,59,64,65,17
2,3,8,9,13,20,21,30,33,36,37,38,40,45,46,48,61,66,67,70,21
2,6,7,12,13,16,17,21,26,31,34,39,42,43,44,49,54,58,61,68,39
8,12,15,17,22,26,28,32,34,36,38,47,48,50,52,54,55,60,61,63,8
1,3,5,13,16,27,30,33,34,43,45,48,51,54,55,56,57,58,67,70,56
4,10,24,27,29,30,32,33,36,39,40,45,47,50,54,58,63,64,68,70,54
8,14,16,17,26,27,29,30,31,34,38,40,41,51,54,55,59,61,65,70,26
1,7,13,17,19,22,23,24,28,31,34,35,36,39,40,42,45,52,56,70,23
3,5,6,7,8,10,20,25,29,31,36,38,41,43,44,54,55,57,64,66,38
5,7,8,12,18,26,29,30,31,32,33,38,39,40,43,47,53,59,64,69,8
2,3,9,10,14,15,28,32,34,39,42,45,49,53,54,56,60,65,66,67,2
1,7,9,11,12,16,18,20,26,28,34,42,44,47,50,57,59,66,68,69,69
2,7,15,21,25,27,30,37,40,42,44,47,50,51,53,63,64,65,67,68,68
7,8,9,13,18,21,27,31,34,39,40,42,48,52,54,55,56,60,63,68,34
6,7,8,9,11,12,15,16,19,22,24,26,27,42,48,57,59,66,67,70,59
3,4,10,11,12,15,16,17,22,27,36,37,41,44,46,53,59,63,65,69,59
3,4,5,7,11,14,15,20,21,23,30,38,44,52,53,54,56,61,65,69,4
1,5,8,25,29,36,37,47,48,51,53,54,57,58,60,62,63,64,65,70,57
1,4,5,9,16,28,29,30,40,47,50,52,56,58,59,60,62,64,65,67,4
1,5,10,13,18,20,28,30,35,38,43,45,49,51,53,56,57,58,59,62,56
5,7,19,20,24,26,27,28,35,36,41,43,45,46,49,50,55,56,58,60,50
5,7,14,18,23,31,32,42,43,46,48,52,53,54,58,60,63,64,67,70,63
5,6,12,17,24,28,30,33,35,48,49,51,53,55,56,60,63,64,65,69,51
1,3,5,9,11,12,16,22,31,32,34,36,42,43,52,55,56,59,63,66,52
3,18,25,26,27,28,34,35,36,41,48,54,58,59,63,64,65,66,67,69,27
2,3,7,11,13,14,19,37,38,43,45,47,51,53,54,57,58,62,65,70,45
10,18,20,28,32,34,36,41,42,43,45,46,47,49,50,52,57,62,65,70,52
2,3,8,12,17,21,22,24,26,30,35,36,37,48,49,51,55,58,59,66,17
7,13,14,17,18,19,20,21,23,30,40,42,43,45,47,58,62,64,66,67,58
1,2,5,6,9,11,17,20,22,27,29,31,38,40,44,47,50,57,61,70,70
2,4,7,8,12,17,24,26,27,29,33,34,39,42,44,50,53,61,66,68,44
3,4,9,10,15,16,18,22,23,27,28,40,42,45,46,54,58,63,64,69,3
5,8,9,14,16,21,25,26,31,39,42,44,45,50,51,56,57,58,62,67,58
2,3,8,10,12,13,20,22,23,27,28,37,39,40,41,46,49,57,59,62,12
1,4,5,6,10,18,19,21,25,35,40,43,49,50,52,54,55,58,59,68,54
1,2,4,8,10,20,21,24,30,35,38,39,43,49,50,55,63,64,66,67,10
2,9,13,14,16,23,26,27,28,31,35,48,51,53,56,63,64,65,67,70,27
2,7,8,14,19,20,22,28,35,36,45,48,51,52,55,59,61,65,66,67,65
8,12,14,17,19,26,28,32,34,35,36,39,43,44,53,57,59,65,66,67,8
3,5,7,8,10,11,12,13,16,19,23,27,28,39,40,42,43,51,52,61,51
2,4,7,8,12,15,30,31,33,36,42,43,50,52,53,56,58,59,60,64,33
1,3,14,18,19,20,30,31,33,35,44,46,47,50,51,52,54,57,61,68,46
13,15,16,17,21,25,32,35,36,39,40,44,53,58,60,63,64,65,67,69,58
6,8,12,14,19,20,24,26,28,29,35,37,43,51,53,60,62,63,68,69,63
1,5,10,12,21,24,25,26,32,33,34,38,43,46,49,55,56,60,64,68,1
1,4,8,12,14,18,20,21,33,43,44,46,49,52,54,58,61,63,65,66,58
5,9,12,16,20,42,45,46,50,53,56,57,58,60,61,62,64,65,66,70,12
2,4,8,13,17,20,22,23,25,29,35,36,37,42,47,48,51,60,66,68,17
2,9,14,15,31,32,37,39,40,42,43,47,50,54,57,62,63,64,69,70,31
1,3,12,14,20,23,27,31,35,38,39,41,47,48,52,54,61,63,66,70,20
1,6,10,11,14,15,16,19,20,22,23,24,27,31,38,40,43,47,51,60,23
6,12,16,19,25,26,33,38,48,49,50,51,52,53,54,55,57,66,67,68,54
3,7,9,10,12,15,32,33,43,44,46,48,54,57,58,60,61,65,69,70,7
2,6,11,12,14,21,22,26,28,31,32,34,37,40,46,54,55,62,65,67,65
3,5,7,8,9,11,12,14,22,25,26,31,35,40,49,57,59,63,66,67,22
3,7,8,10,11,16,20,26,28,30,31,32,38,45,48,53,55,59,64,68,11
2,5,8,9,10,13,14,17,18,22,23,27,35,37,38,42,44,54,56,62,62
5,13,16,24,26,30,32,38,41,43,45,53,55,58,62,63,64,65,66,67,13
2,9,10,11,12,14,20,25,32,34,37,38,40,45,46,51,52,58,60,62,45
9,10,14,15,16,19,22,24,25,33,36,41,46,47,48,49,56,57,67,68,10
1,4,5,7,9,11,17,20,25,26,32,35,42,44,48,49,53,59,63,65,53
7,18,22,23,26,27,31,32,35,40,45,46,52,55,56,60,61,62,63,70,40
1,2,6,7,10,12,13,17,22,35,37,42,47,48,49,51,55,59,60,69,17
3,6,9,10,17,18,20,28,32,42,44,47,48,52,55,59,62,66,67,70,44
3,5,6,7,13,23,25,26,27,30,33,35,42,44,47,48,55,56,57,67,57
2,5,8,13,14,16,17,18,19,25,26,29,33,35,36,37,38,57,63,64,17
3,4,10,13,14,16,22,25,38,39,40,42,44,45,48,53,59,61,65,67,44
3,4,5,6,9,17,26,31,35,40,46,48,50,52,60,61,64,67,68,70,67
1,7,17,18,23,32,36,38,39,40,42,45,48,51,55,61,62,63,68,69,7
5,7,10,13,14,15,19,29,33,36,40,42,47,52,55,57,60,66,67,70,52
1,2,13,14,15,16,17,21,22,23,27,29,41,47,48,60,62,64,65,68,41
3,5,7,11,12,22,23,24,29,34,38,40,41,47,52,56,57,59,66,70,40
2,4,5,7,9,16,21,29,32,33,43,44,45,48,49,50,52,57,63,69,43
5,9,11,12,18,25,26,28,32,35,39,45,58,60,62,63,64,67,69,70,5
2,3,5,7,10,11,15,18,29,33,36,40,42,43,47,54,58,63,69,70,10
5,9,10,12,17,18,23,24,25,26,27,29,33,44,46,50,53,66,67,70,10
3,4,10,15,16,17,18,19,27,30,31,35,36,37,38,40,42,52,54,64,54
2,3,6,13,14,15,18,25,30,33,35,39,42,43,46,48,49,63,66,70,14
7,9,12,13,14,18,19,23,31,32,34,38,42,45,47,50,53,58,66,69,58
1,4,7,8,10,11,14,18,19,29,36,42,46,48,50,52,60,65,69,70,29
1,3,5,8,9,17,22,26,27,31,32,44,45,47,54,58,61,64,68,69,68
3,4,8,12,16,20,21,23,24,34,43,44,50,52,53,56,58,59,68,70,20
4,5,6,8,10,11,12,15,16,17,22,28,32,39,41,42,54,55,59,64,12
2,4,10,11,12,25,26,35,38,39,46,50,52,54,55,60,61,67,68,70,61
7,8,12,15,16,18,19,23,24,25,33,37,41,55,57,59,60,63,64,69,8
2,5,8,12,19,23,25,36,37,38,41,48,55,56,58,62,64,65,69,70,65
4,9,17,19,25,27,28,29,31,32,41,45,53,55,56,59,60,63,66,68,60
1,6,13,16,19,26,34,37,40,41,43,46,47,48,49,56,57,59,62,65,59
5,9,12,14,16,17,18,19,29,33,35,38,40,47,49,50,52,59,64,65,40
2,3,4,6,8,13,17,19,23,32,33,34,38,43,53,55,64,65,66,69,33
4,9,10,17,23,25,26,28,30,33,35,36,40,41,43,54,56,61,62,69,23
2,3,7,14,18,22,23,27,29,32,35,37,43,44,45,52,58,60,62,68,35
4,6,8,10,11,15,19,27,29,33,34,35,36,41,42,46,48,51,54,70,8
1,2,3,5,8,20,22,26,33,34,37,42,46,51,52,59,60,61,65,69,33
7,8,13,16,20,21,26,29,32,35,38,39,43,46,48,49,50,52,53,66,26
2,12,23,24,33,34,35,36,40,41,46,53,56,57,60,62,63,67,69,70,46
2,8,12,13,17,19,22,28,31,33,39,43,44,48,51,53,55,62,66,70,44
2,3,7,9,12,15,17,20,24,27,31,37,38,44,54,58,62,64,67,69,62
1,4,5,8,9,12,18,20,27,28,33,34,37,43,45,54,63,64,66,70,37
4,15,18,20,23,25,29,37,39,40,41,47,50,52,53,56,57,58,66,70,50
2,5,12,14,21,24,25,26,34,37,39,45,47,49,54,58,59,63,66,70,37
1,8,11,12,16,18,21,22,26,29,30,35,38,41,44,46,49,56,66,68,35
1,4,12,17,18,19,20,23,33,35,36,45,47,49,53,54,62,63,65,68,65
4,9,10,11,21,22,23,24,30,31,33,42,44,49,50,53,55,56,65,67,23
1,3,6,14,15,16,17,18,21,25,30,39,40,44,52,55,56,57,63,68,39
5,6,10,13,16,18,20,24,27,28,31,32,34,35,41,55,60,63,68,69,20
4,5,12,15,19,21,30,32,33,34,38,41,42,47,52,58,59,63,66,69,33
7,17,18,22,27,29,30,31,32,37,44,45,51,53,56,57,60,63,65,68,51
3,7,9,13,16,17,20,24,34,39,44,48,51,56,61,62,66,67,68,70,62
1,2,3,10,11,19,21,22,23,24,29,32,34,40,43,48,58,61,67,70,34
1,17,18,23,25,34,38,39,43,45,47,49,50,54,57,60,63,64,67,69,39
1,2,4,8,11,14,15,23,36,37,41,44,46,47,48,52,54,55,61,67,37
9,10,13,14,19,20,21,25,26,27,31,32,34,39,45,47,54,55,60,63,27
6,7,13,14,17,18,19,26,32,35,43,44,45,50,52,53,54,58,63,64,63
1,5,12,13,15,16,20,31,37,39,40,41,42,45,49,51,56,60,63,66,51
1,3,4,5,11,14,16,17,18,32,39,44,52,54,58,62,63,64,65,68,4
2,5,6,9,12,19,20,25,30,32,33,38,40,41,42,47,52,60,61,64,19
1,4,8,17,19,20,21,22,23,29,30,34,44,50,52,53,61,67,68,69,22
1,7,14,15,16,17,22,25,48,49,52,53,56,57,61,63,66,67,69,70,57
1,5,9,20,23,26,27,28,30,31,33,37,40,43,44,45,46,59,66,67,1
3,5,7,8,10,13,14,16,18,27,29,37,38,45,49,52,60,62,63,67,67
3,7,8,11,15,16,18,28,33,34,42,44,48,56,61,62,63,64,66,70,16
3,6,7,8,9,11,12,14,19,21,24,26,31,33,44,52,62,66,67,69,7
3,4,6,8,12,13,18,23,24,28,33,38,45,46,47,49,57,58,66,68,28
1,4,5,10,11,14,22,27,29,31,41,44,47,48,49,59,61,63,66,67,59
4,5,7,15,22,24,26,27,28,29,30,31,42,44,45,47,50,58,63,69,30
2,5,9,16,23,24,25,38,39,45,46,47,48,50,51,53,55,60,65,70,50
5,8,22,27,29,30,31,36,38,40,42,44,45,46,50,56,60,61,66,67,29
2,3,14,15,20,21,26,31,33,35,36,42,51,52,54,59,60,66,67,70,52
5,10,13,15,22,24,25,28,29,31,34,38,49,55,56,58,59,65,68,69,15
3,4,8,10,12,18,20,24,27,29,33,38,39,42,46,50,54,57,66,70,39
2,5,7,9,10,12,14,16,29,30,37,44,46,50,51,52,58,62,63,66,46
2,3,8,18,19,23,28,35,40,43,44,45,49,51,55,58,61,62,63,67,19
1,4,5,8,9,13,16,20,22,32,39,40,47,51,52,54,55,67,68,70,9
3,10,12,14,15,23,24,26,30,34,36,37,51,54,57,62,66,67,68,70,68
2,6,7,8,9,11,14,16,17,19,20,23,31,32,33,34,36,49,53,56,23
5,7,10,14,15,18,19,30,40,42,43,44,46,47,53,54,58,63,65,66,66
5,14,18,20,22,29,30,32,43,45,49,50,51,54,57,62,63,66,67,69,51
1,5,6,14,15,17,20,22,24,32,33,41,42,47,48,58,60,61,63,69,5
1,4,6,8,9,11,16,18,20,21,26,31,34,35,43,45,46,53,68,70,21
1,2,3,4,7,8,9,16,17,20,25,27,28,29,33,35,42,45,47,66,27
1,3,5,9,10,11,18,19,23,30,31,32,40,42,50,51,59,60,63,66,60
3,5,7,9,11,13,19,24,31,35,36,45,48,49,51,52,55,57,63,65,36
3,4,7,8,9,10,13,16,20,22,30,35,41,53,56,57,63,66,67,68,22
2,4,6,10,14,17,24,32,33,34,37,39,46,47,48,51,57,59,61,70,70
